Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton),Land Area (km2),Population,GDP,Gini,HDI,highest_restriction,start_date,Years Since Start,Plastic Growth Rate,log_GDP,log_Gini,squareroot_landarea
2020,Aceh,BENER MERIAH,9.6975,3539.631,1907.4,161342.0,4527816.08,0.259,72.98,Fee,2020,0,-17.925263816223246,6.65588877748601,-0.5867002359187482,43.67379076746144
2020,Aceh,KOTA BANDA ACEH,16.54372,6038.40816,56.77,252899.0,18501628.13,0.303,85.41,Ban,2020,0,1.9648414678507864,7.267209947687462,-0.518557371497695,7.534586916347837
2020,Aceh,KOTA SABANG,5.1654435,1885.3418243333333,122.06,41197.0,1531407.09,0.271,75.78,Fee,2020,0,31.279011484952246,6.185090653428384,-0.5670307091255943,11.048076755707303
2020,Aceh,KOTA LANGSA,7.6136,2779.0224,224.24,185971.0,5274021.46,0.356,77.17,Fee,2020,0,14.998025931411307,6.722141892605808,-0.44855000202712486,14.974645237867907
2021,Aceh,GAYO LUES,6.873100000000001,2508.7308000000003,5541.29,101102.0,2854808.79,0.264,67.56,Fee,2020,1,7.414438152359049,6.4555770252863125,-0.5783960731301689,74.43984148290484
2021,Aceh,KOTA BANDA ACEH,41.27922,15067.13276,56.77,255029.0,19943395.17,0.347,85.71,Ban,2020,1,149.52160173286467,7.299799094701767,-0.4596705252091263,7.534586916347837
2021,Aceh,KOTA SABANG,3.80358,1388.0106400000002,122.06,42066.0,1596295.22,0.293,76.11,Fee,2020,1,-26.378833690235037,6.203113213180354,-0.5331323796458906,11.048076755707303
2021,Aceh,KOTA LANGSA,9.283,3388.3320000000003,224.24,188878.0,5748993.79,0.34,77.44,Fee,2020,1,21.92532165267904,6.759591839526095,-0.46852108295774486,14.974645237867907
2021,Aceh,KOTA SUBULUSSALAM,6.7935,2479.3815,1183.6,92671.0,2102899.14,0.303,65.27,Fee,2020,1,,6.322818443398697,-0.518557371497695,34.40348819523974
2022,Aceh,ACEH SELATAN,20.32136158823529,7417.05057082353,4175.38,237376.0,6426567.77,0.257,67.87,Fee,2020,2,16.32913465630552,6.8079790916614,-0.5900668766687055,64.61718037797688
2022,Aceh,ACEH TENGGARA,16.4376,5999.9346,4179.12,228308.0,5813672.27,0.274,70.32,Fee,2020,2,,6.7644505459513935,-0.562249437179612,64.64611357227903
2022,Aceh,ACEH TIMUR,45.0164,16430.947,5409.41,432849.0,13008657.84,0.283,68.72,Fee,2020,2,200.5968561832502,7.114232490815961,-0.5482135644757098,73.5486913547753
