Province/Regency/City,Year,Population,Luas wilayah (km2)[2],Gini,HDI,GDP
KOTA JAKARTA UTARA,2017,1781316.0,139.99,0.413,79.47,445913787.7
JAWA BARAT,2017,48037827.0,35377.76,0.403,70.69,
BOGOR,2017,5715009.0,2710.62,0.403,69.13,200897681.8
SUKABUMI,2017,2453498.0,4145.7,0.403,65.49,56001511.13
CIANJUR,2017,2256589.0,3840.16,0.403,63.7,38575001.4
BANDUNG,2017,3657601.0,1767.96,0.403,71.02,102865597.4
GARUT,2017,2588839.0,3074.07,0.403,64.52,48029131.17
TASIKMALAYA,2017,1747318.0,2551.19,0.403,64.14,30532533.12
CIAMIS,2017,1181981.0,1414.71,0.403,68.87,26544477.04
KUNINGAN,2017,1068201.0,1110.56,0.403,67.78,20463990.21
CIREBON,2017,2159577.0,984.52,0.403,67.39,41919286.13
MAJALENGKA,2017,1193725.0,1204.24,0.403,65.92,25405614.58
SUMEDANG,2017,1146435.0,1518.33,0.403,70.07,29638762.78
INDRAMAYU,2017,1709994.0,2040.11,0.403,65.58,69814296.3
SUBANG,2017,1562509.0,1893.95,0.403,67.73,34259779.11
PURWAKARTA,2017,943337.0,825.74,0.403,69.28,58556945.77
KARAWANG,2017,2316489.0,1652.2,0.403,69.17,197423975.3
BEKASI,2017,3500023.0,1224.88,0.403,72.63,281821526.6
BANDUNG BARAT,2017,1666510.0,1305.77,0.403,66.63,40204396.93
PANGANDARAN,2017,395098.0,1010.0,0.403,66.6,9400780.12
KOTA BOGOR,2017,1081009.0,118.5,0.403,75.16,38478473.74
KOTA SUKABUMI,2017,323788.0,48.25,0.403,73.03,10549217.87
KOTA BANDUNG,2017,2497938.0,167.67,0.403,80.31,240109626.7
KOTA CIREBON,2017,313325.0,37.36,0.403,74.0,19821298.75
KOTA BEKASI,2017,2859630.0,206.61,0.403,80.3,83327643.95
KOTA DEPOK,2017,2254513.0,200.29,0.403,79.83,58408776.96
KOTA CIMAHI,2017,601099.0,39.27,0.403,76.95,26580075.56
KOTA TASIKMALAYA,2017,661404.0,171.61,0.403,71.51,18265988.56
KOTA BANJAR,2017,182388.0,113.49,0.403,70.79,3848361.95
JAWA TENGAH,2017,34257865.0,32817.69,0.365,70.52,
CILACAP,2017,1711627.0,2124.47,0.365,68.9,103921776.0
BANYUMAS,2017,1665025.0,1335.3,0.365,70.75,45585979.73
PURBALINGGA,2017,916427.0,677.55,0.365,67.72,21439650.09
BANJARNEGARA,2017,912917.0,1023.73,0.365,65.86,18545598.4
KEBUMEN,2017,1192007.0,1211.74,0.365,68.29,24068988.49
PURWOREJO,2017,714574.0,1091.49,0.365,71.31,16155396.44
WONOSOBO,2017,784207.0,981.41,0.365,66.89,16255103.4
MAGELANG,2017,1268396.0,1102.93,0.365,68.39,28183854.01
BOYOLALI,2017,974579.0,1008.45,0.365,72.64,27914646.55
KLATEN,2017,1167401.0,658.22,0.365,74.25,34174819.85
SUKOHARJO,2017,878374.0,489.12,0.365,75.56,31621414.17
WONOGIRI,2017,954706.0,1793.67,0.365,68.66,25104341.16
KARANGANYAR,2017,871596.0,775.44,0.365,75.22,31552289.97
SRAGEN,2017,885122.0,941.54,0.365,72.4,32410814.98
GROBOGAN,2017,1365207.0,2013.86,0.365,68.87,23463543.25
BLORA,2017,858865.0,1821.59,0.365,67.52,21865831.17
REMBANG,2017,628922.0,887.13,0.365,68.95,16324716.54
PATI,2017,1246691.0,1489.19,0.365,70.12,36790695.26
KUDUS,2017,851478.0,425.15,0.365,73.84,97163854.2
JEPARA,2017,1223198.0,1059.25,0.365,70.79,25785377.48
DEMAK,2017,1140675.0,900.12,0.365,70.41,22621049.05
SEMARANG,2017,1027489.0,950.21,0.365,73.2,42621419.92
TEMANGGUNG,2017,759128.0,837.71,0.365,68.34,18807712.01
KENDAL,2017,957024.0,1118.13,0.365,70.62,36520986.43
BATANG,2017,756079.0,788.65,0.365,67.35,18661966.98
PEKALONGAN,2017,886197.0,837.0,0.365,68.4,19709225.7
PEMALANG,2017,1296281.0,1118.03,0.365,65.04,21860524.17
TEGAL,2017,1433515.0,876.1,0.365,66.44,30278514.25
BREBES,2017,1796004.0,1902.37,0.365,64.86,39963111.45
KOTA MAGELANG,2017,121474.0,16.06,0.365,77.84,7606070.53
KOTA SURAKARTA,2017,516102.0,46.01,0.365,80.85,41042339.48
KOTA SALATIGA,2017,188928.0,57.36,0.365,81.68,11382348.72
KOTA SEMARANG,2017,1757686.0,373.78,0.365,82.01,160292032.0
KOTA PEKALONGAN,2017,301870.0,45.25,0.365,73.77,9274261.81
