Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
TULANGBAWANG,2017,3116.06,440511.0,19861020.48,0.327,67.07
PESAWARAN,2017,1288.08,435827.0,13994055.99,0.291,64.43
PRINGSEWU,2017,617.19,393901.0,9685778.49,0.304,68.61
MESUJI,2017,2200.41,198092.0,8931802.31,0.276,61.87
TULANG BAWANG BARAT,2017,1257.09,269162.0,9854342.36,0.285,64.58
PESISIR BARAT,2017,2939.6,152529.0,3947578.32,0.34,62.2
KOTA BANDAR LAMPUNG,2017,183.75,1015910.0,50082837.14,0.349,75.98
KOTA METRO,2017,73.21,162976.0,5481684.05,0.373,75.87
BANGKA,2017,3016.85,324305.0,12807936.13,0.282,71.09
BELITUNG,2017,2270.71,182418.0,8739899.93,0.282,70.93
BANGKA BARAT,2017,2851.41,204778.0,13221427.41,0.282,67.94
BANGKA TENGAH,2017,2259.98,188603.0,7972210.19,0.282,68.99
BANGKA SELATAN,2017,3598.24,201782.0,8165172.68,0.282,65.02
BELITUNG TIMUR,2017,2588.4,124587.0,7151803.12,0.282,69.57
KOTA PANGKAL PINANG,2017,104.54,204392.0,12108566.32,0.282,76.86
KARIMUN,2017,930.45,235404.0,11618487.19,0.34,70.26
BINTAN,2017,1317.15,158058.0,17982664.56,0.3,72.91
NATUNA,2017,1999.16,75968.0,19604964.77,0.32,71.52
LINGGA,2017,2210.82,86222.0,3659729.61,0.34,63.45
KEPULAUAN ANAMBAS,2017,627.03,44519.0,17256606.21,0.29,67.06
KOTA BATAM,2017,1034.73,1433101.0,137925335.1,0.31,80.26
KOTA TANJUNG PINANG,2017,150.37,217736.0,18088953.23,0.34,78.0
KEP SERIBU,2017,10.18,23897.0,7200321.26,0.413,70.11
KOTA JAKARTA SELATAN,2017,154.32,2226830.0,532511114.8,0.413,84.13
KOTA JAKARTA TIMUR,2017,182.7,2892783.0,414702563.1,0.413,81.61
KOTA JAKARTA PUSAT,2017,52.38,921344.0,581697980.1,0.413,80.49
KOTA JAKARTA BARAT,2017,124.44,2528065.0,392281649.7,0.413,80.47
KOTA JAKARTA UTARA,2017,139.99,1781316.0,445913787.7,0.413,79.47
BOGOR,2017,2710.62,5715009.0,200897681.8,0.403,69.13
SUKABUMI,2017,4145.7,2453498.0,56001511.13,0.403,65.49
CIANJUR,2017,3840.16,2256589.0,38575001.4,0.403,63.7
BANDUNG,2017,1767.96,3657601.0,102865597.4,0.403,71.02
GARUT,2017,3074.07,2588839.0,48029131.17,0.403,64.52
TASIKMALAYA,2017,2551.19,1747318.0,30532533.12,0.403,64.14
CIAMIS,2017,1414.71,1181981.0,26544477.04,0.403,68.87
KUNINGAN,2017,1110.56,1068201.0,20463990.21,0.403,67.78
CIREBON,2017,984.52,2159577.0,41919286.13,0.403,67.39
MAJALENGKA,2017,1204.24,1193725.0,25405614.58,0.403,65.92
SUMEDANG,2017,1518.33,1146435.0,29638762.78,0.403,70.07
INDRAMAYU,2017,2040.11,1709994.0,69814296.3,0.403,65.58
SUBANG,2017,1893.95,1562509.0,34259779.11,0.403,67.73
PURWAKARTA,2017,825.74,943337.0,58556945.77,0.403,69.28
