Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
KOTA KEDIRI,2018,63.4,285582,127716773.7,0.33,77.58
KOTA BLITAR,2018,32.57,140971,6301693.0,0.35,77.58
KOTA MALANG,2018,145.28,866118,67696347.84,0.41,80.89
KOTA PROBOLINGGO,2018,56.67,235211,10521393.65,0.31,72.53
KOTA PASURUAN,2018,35.29,199078,7707010.78,0.34,74.78
KOTA MOJOKERTO,2018,16.47,128282,6333225.96,0.34,77.14
KOTA MADIUN,2018,33.29,176697,13128893.64,0.36,80.33
KOTA SURABAYA,2018,350.54,2885555,538845464.9,0.36,81.74
KOTA BATU,2018,136.74,205788,15640890.16,0.33,75.04
PANDEGLANG,2018,2746.89,1209011,26183539.56,0.319,64.34
LEBAK,2018,3426.56,1295810,26602743.2,0.303,63.37
TANGERANG,2018,1011.86,3692693,129825980.8,0.342,71.59
SERANG,2018,1734.28,1501501,71521738.86,0.284,65.93
KOTA TANGERANG,2018,153.93,2185304,161359628.3,0.33,77.92
KOTA CILEGON,2018,175.5,431305,96909883.4,0.352,72.65
KOTA SERANG,2018,266.71,677804,28980866.42,0.351,71.68
KOTA TANGERANG SELATAN,2018,147.19,1696308,75043782.35,0.379,81.17
JEMBRANA,2018,849.13,276600,13136607.05,0.327,71.65
TABANAN,2018,849.31,443500,22127882.05,0.325,75.45
BADUNG,2018,398.75,656900,57791252.39,0.339,80.87
GIANYAR,2018,364.36,508100,26460397.14,0.305,76.71
KLUNGKUNG,2018,313.96,178300,8459337.54,0.392,70.9
BANGLI,2018,526.76,226200,6490234.11,0.313,68.96
KARANGASEM,2018,839.32,414800,15886255.44,0.339,66.49
BULELENG,2018,1322.75,657200,32926626.84,0.345,71.7
KOTA DENPASAR,2018,125.87,930600,51374779.12,0.342,83.3
LOMBOK BARAT,2018,923.06,685161,14470435.89,0.285,67.18
LOMBOK TENGAH,2018,1095.03,939409,16702136.71,0.332,65.36
LOMBOK TIMUR,2018,1230.76,1192110,18835069.42,0.364,65.35
SUMBAWA,2018,6643.98,453797,13686854.44,0.364,66.77
DOMPU,2018,2391.54,248879,6670370.66,0.304,66.97
BIMA,2018,3405.63,483901,10832083.05,0.383,65.62
SUMBAWA BARAT,2018,1849.02,144707,17143397.69,0.366,70.71
LOMBOK UTARA,2018,776.25,218533,4461899.51,0.309,63.83
KOTA MATARAM,2018,61.3,477476,17964323.18,0.399,78.43
KOTA BIMA,2018,222.25,169714,3945922.44,0.417,75.04
SUMBA BARAT,2018,737.42,127872,2168939.69,0.355,62.91
SUMBA TIMUR,2018,7000.5,255601,5816332.94,0.31,64.65
KUPANG,2018,5434.76,387479,7140157.68,0.357,63.55
TIMOR TENGAH SELATAN,2018,3947.0,465970,7369199.07,0.292,61.58
TIMOR TENGAH UTARA,2018,2669.7,251993,3825631.29,0.321,62.65
BELU,2018,1284.97,216783,4147192.39,0.397,61.86
ALOR,2018,2864.6,204380,2831309.8,0.33,60.14
LEMBATA,2018,1266.0,140390,1724744.75,0.381,63.96
FLORES TIMUR,2018,1813.2,253818,4900913.87,0.344,63.55
SIKKA,2018,1731.9,318920,4732351.03,0.336,63.89
ENDE,2018,2046.5,272988,5689963.48,0.311,66.62
NGADA,2018,1645.88,161196,3233025.3,0.315,67.1
MANGGARAI,2018,2096.44,333912,4332594.72,0.282,63.32
ROTE NDAO,2018,1280.0,165807,2883900.16,0.336,61.51
MANGGARAI BARAT,2018,2397.03,269029,3187960.31,0.295,62.58
SUMBA TENGAH,2018,1868.74,71801,1093556.51,0.293,60.07
SUMBA BARAT DAYA,2018,1480.46,338427,3478338.0,0.333,61.89
NAGEKEO,2018,1416.96,144414,2102044.11,0.307,65.35
MANGGARAI TIMUR,2018,2642.93,283313,2969624.88,0.236,59.49
SABU RAIJUA,2018,460.54,94406,1306609.03,0.303,55.79
MALAKA,2018,1160.63,189220,2567429.42,0.275,59.66
KOTA KUPANG,2018,180.27,423800,22498164.62,0.354,78.84
SAMBAS,2018,6394.7,532609,18984588.5,0.266,66.61
BENGKAYANG,2018,5396.3,251320,7999796.42,0.263,66.85
LANDAK,2018,8831.0,372609,9755298.04,0.31,65.45
MEMPAWAH,2018,2797.88,261299,7603864.08,0.283,64.9
SANGGAU,2018,12857.7,463995,18119163.6,0.33,65.15
KETAPANG,2018,31588.0,504008,25000288.86,0.261,66.41
SINTANG,2018,21638.0,413369,13390619.49,0.248,66.07
KAPUAS HULU,2018,29842.03,258984,9427193.33,0.278,65.03
SEKADAU,2018,6263.07,199576,5856919.48,0.28,63.69
MELAWI,2018,10640.8,205298,4740568.63,0.3,65.05
KAYONG UTARA,2018,4568.26,110899,3796363.35,0.294,61.82
KUBU RAYA,2018,8492.0,570914,26343571.76,0.297,67.23
KOTA PONTIANAK,2018,118.32,637723,36075298.95,0.337,78.56
KOTA SINGKAWANG,2018,504.0,219061,9691384.46,0.319,71.08
KOTAWARINGIN BARAT,2018,10759.0,301252,17827431.51,0.306,72.46
KOTAWARINGIN TIMUR,2018,16796.0,453492,24565446.71,0.335,70.56
KAPUAS,2018,14999.0,359976,15177558.35,0.328,68.68
BARITO SELATAN,2018,883.0,13245,5946350.99,0.322,69.73
BARITO UTARA,2018,83.0,132800,9220709.14,0.314,69.72
SUKAMARA,2018,3827.0,61232,3876161.3,0.357,67.52
LAMANDAU,2018,6414.0,83382,5005075.35,0.303,69.7
SERUYAN,2018,16404.0,196848,8061833.49,0.28,67.04
KATINGAN,2018,175.0,175000,7526197.34,0.301,67.91
PULANG PISAU,2018,8997.0,125958,4882525.05,0.266,67.54
GUNUNG MAS,2018,10805.0,118855,5159194.47,0.309,70.23
BARITO TIMUR,2018,3834.0,122688,7043149.5,0.317,70.82
MURUNG RAYA,2018,237.0,118500,7612047.58,0.32,67.56
KOTA PALANGKA RAYA,2018,2399.5,283141,16603158.62,0.366,80.34
TANAH LAUT,2018,3631.35,339195,13241237.45,0.234,68.49
KOTABARU,2018,9482.73,336719,22863018.51,0.337,68.32
BANJAR,2018,4668.0,580026,15569054.28,0.327,68.32
BARITO KUALA,2018,2996.46,310016,8055963.53,0.338,65.91
TAPIN,2018,2700.82,189081,7999159.37,0.281,69.53
HULU SUNGAI SELATAN,2018,1804.94,235217,6158256.68,0.317,68.41
HULU SUNGAI TENGAH,2018,1472.0,269384,6579335.7,0.32,68.32
HULU SUNGAI UTARA,2018,892.7,234604,4573844.56,0.325,65.06
TABALONG,2018,3766.97,250809,17319538.88,0.305,71.14
TANAH BUMBU,2018,5006.96,351673,19074223.89,0.332,70.05
BALANGAN,2018,1878.3,129505,10751678.17,0.31,67.88
KOTA BANJARMASIN,2018,72.0,700869,30394019.77,0.377,76.83
KOTA BANJAR BARU,2018,371.0,255597,8734149.61,0.364,78.83
PASER,2018,7730.88,195050,48054117.69,0.299,71.61
KUTAI BARAT,2018,20384.6,219542,28353170.54,0.311,70.69
KUTAI KARTANEGARA,2018,27263.1,806988,161920385.8,0.302,73.15
KUTAI TIMUR,2018,35747.5,416458,127935404.0,0.326,72.56
BERAU,2018,36962.37,385148,37661474.14,0.303,74.01
PENAJAM PASER UTARA,2018,3333.06,181685,8877834.1,0.313,71.13
MAHAKAM ULU,2018,15315.0,20675,2511282.43,0.334,66.67
KOTA BALIKPAPAN,2018,533.0,671884,97699383.86,0.356,79.81
KOTA SAMARINDA,2018,718.0,859841,63564686.76,0.317,79.93
KOTA BONTANG,2018,149.8,159961,58785886.17,0.376,79.86
MALINAU,2018,42620.7,85241,9364802.62,0.295,71.74
BULUNGAN,2018,13925.72,139257,16796823.01,0.302,71.23
TANA TIDUNG,2018,4828.58,28971,5145591.47,0.277,67.05
NUNUKAN,2018,13841.9,207629,22576028.62,0.294,65.67
KOTA TARAKAN,2018,250.8,262086,31670824.12,0.297,75.69
BOLAANG MONGONDOW,2018,5397.69,244185,7221430.9,0.32,66.91
MINAHASA,2018,1025.85,338364,15773922.44,0.4,74.97
KEPULAUAN SANGIHE,2018,736.98,130833,3931775.73,0.37,69.67
KEPULAUAN TALAUD,2018,1251.02,91599,2048962.9,0.35,68.32
MINAHASA SELATAN,2018,1456.46,209501,7949041.78,0.4,70.86
MINAHASA UTARA,2018,1059.24,202317,12623408.43,0.37,73.05
BOLAANG MONGONDOW UTARA,2018,1856.86,79366,2282855.64,0.38,66.32
SIAU TAGULANDANG BIARO,2018,275.96,66225,2160077.01,0.34,66.75
MINAHASA TENGGARA,2018,730.63,106303,4713095.7,0.33,69.66
BOLAANG MONGONDOW SELATAN,2018,1932.6,65127,1900606.44,0.36,64.49
BOLAANG MONGONDOW TIMUR,2018,910.18,71477,2626467.67,0.32,65.21
KOTA MANADO,2018,162.53,431880,34200431.94,0.4,78.41
KOTA BITUNG,2018,313.51,215711,15163426.63,0.34,73.27
KOTA TOMOHON,2018,147.21,105306,3921193.83,0.35,75.78
KOTA KOTAMOBAGU,2018,184.33,126198,3334652.03,0.39,72.55
BANGGAI KEPULAUAN,2018,2488.79,117600,3601970.38,0.345,64.68
BANGGAI,2018,9672.7,371300,26853265.89,0.311,69.85
MOROWALI,2018,5472.0,119300,37356484.45,0.304,71.14
POSO,2018,7112.25,251200,8687017.64,0.3,70.68
DONGGALA,2018,5275.69,301600,11260129.7,0.29,65.14
TOLI-TOLI,2018,4079.77,233400,7866878.19,0.369,64.6
BUOL,2018,4043.57,158800,5521973.16,0.348,67.3
PARIGI MOUTONG,2018,6231.85,482800,16971882.56,0.305,64.85
TOJO UNA-UNA,2018,5721.15,152500,5302054.69,0.313,63.38
SIGI,2018,5196.02,237000,8422171.97,0.303,67.66
BANGGAI LAUT,2018,725.67,73700,2233054.88,0.298,64.8
MOROWALI UTARA,2018,10004.28,125600,10161290.28,0.314,67.95
KOTA PALU,2018,395.06,385600,22726172.53,0.357,80.91
KEPULAUAN SELAYAR,2018,1357.03,133315,5857277.94,0.338,66.04
BULUKUMBA,2018,1154.58,416773,13198917.32,0.354,67.7
BANTAENG,2018,395.83,186525,7769501.82,0.342,67.76
JENEPONTO,2018,749.79,361892,9416911.73,0.309,63.33
TAKALAR,2018,566.51,293136,9324821.98,0.358,66.07
GOWA,2018,1883.33,751981,19071982.68,0.384,68.87
SINJAI,2018,819.96,242127,10163057.33,0.369,66.24
MAROS,2018,1619.12,348682,21311332.1,0.337,68.94
PANGKAJENE DAN KEPULAUAN,2018,898.29,331979,23944893.26,0.321,67.71
BARRU,2018,1174.72,173357,6614101.75,0.379,70.05
BONE,2018,4559.0,751323,33120526.6,0.412,65.04
SOPPENG,2018,1500.0,228153,10005938.3,0.359,67.6
WAJO,2018,2506.19,400262,18709890.44,0.369,68.57
SIDENRENG RAPPANG,2018,1102.1,296684,12937370.32,0.34,70.6
PINRANG,2018,1961.77,374460,18087778.99,0.359,70.62
ENREKANG,2018,1786.01,205254,6719799.76,0.389,72.15
LUWU,2018,2909.08,360537,14441940.32,0.362,69.6
TANA TORAJA,2018,2054.3,234529,6824872.59,0.369,67.66
LUWU UTARA,2018,7502.58,310744,11999256.5,0.361,68.79
LUWU TIMUR,2018,6944.88,289661,20393893.93,0.398,72.16
TORAJA UTARA,2018,1151.47,231686,8696497.07,0.41,68.49
KOTA MAKASAR,2018,175.77,1503664,160207659.3,0.383,81.73
KOTA PAREPARE,2018,99.33,143075,6602362.55,0.382,77.19
KOTA PALOPO,2018,247.52,178253,7285142.35,0.338,77.3
BUTON,2018,1648.04,101618,3549806.49,0.381,65.08
MUNA,2018,2057.69,221343,6420780.55,0.38,68.47
KONAWE,2018,6087.68,249010,8286262.01,0.344,70.72
KOLAKA,2018,3283.59,256827,23656632.04,0.34,72.07
KONAWE SELATAN,2018,4237.74,309298,11170287.17,0.345,67.51
BOMBANA,2018,3316.16,180035,5896515.23,0.358,65.04
WAKATOBI,2018,473.62,95737,3997974.59,0.389,68.52
KOLAKA UTARA,2018,3392.0,147863,7955539.21,0.329,68.44
BUTON UTARA,2018,1923.03,63070,2876546.92,0.361,67.13
KONAWE UTARA,2018,5101.76,62403,3591795.67,0.372,68.5
KOLAKA TIMUR,2018,3992.53,130860,4065157.73,0.361,65.53
KONAWE KEPULAUAN,2018,867.58,33680,1262006.84,0.337,64.36
MUNA BARAT,2018,1022.89,80619,2358289.69,0.414,64.11
BUTON TENGAH,2018,958.0,92165,2169779.51,0.508,63.46
BUTON SELATAN,2018,510.0,79979,2693687.35,0.322,63.47
KOTA KENDARI,2018,271.8,381628,20285726.42,0.395,82.22
KOTA BAUBAU,2018,295.07,167519,8251064.01,0.453,74.67
BOALEMO,2018,2567.36,162577,4953066.88,0.4,64.99
KAB GORONTALO,2018,2124.6,377048,11834516.01,0.4,65.78
POHUWATO,2018,4244.31,157551,6083528.57,0.4,64.44
BONE BOLANGO,2018,1984.31,159194,4201159.27,0.4,69.06
GORONTALO UTARA,2018,1777.02,114036,3079617.49,0.4,64.06
KOTA GORONTALO,2018,79.02,215086,7748239.18,0.4,76.53
MAJENE,2018,947.84,171272,4612692.58,0.372,66.01
POLEWALI MANDAR,2018,2022.3,437662,12442690.11,0.346,63.14
MAMASA,2018,3005.88,159201,2763513.22,0.377,64.66
MAMUJU,2018,4979.89,286389,10999826.42,0.376,67.11
MAMUJU UTARA / PASANGKAYU,2018,3043.75,170203,9584654.66,0.352,66.6
MAMUJU TENGAH,2018,3100.87,130827,2974458.63,0.337,64.43
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2018,4465.79,112429,2484814.22,0.34,62.39
MALUKU TENGGARA,2018,1031.81,99591,2986767.79,0.34,65.53
MALUKU TENGAH,2018,7953.81,372529,8093698.98,0.34,70.6
BURU,2018,4932.32,139658,2241801.38,0.34,68.25
KEPULAUAN ARU,2018,8152.42,95005,3252879.09,0.34,63.12
SERAM BAGIAN BARAT,2018,5033.38,170969,2810460.11,0.34,65.14
SERAM BAGIAN TIMUR,2018,6429.88,113180,2850258.28,0.34,62.98
MALUKU BARAT DAYA,2018,4581.06,72840,1521634.17,0.34,60.64
BURU SELATAN,2018,3780.56,62271,1304710.36,0.34,63.62
KOTA AMBON,2018,298.61,461699,13822431.18,0.34,80.24
KOTA TUAL,2018,254.39,73605,2275288.2,0.34,67.21
HALMAHERA BARAT,2018,1704.2,116516,2084519.54,0.242,64.54
HALMAHERA TENGAH,2018,2653.76,54190,2195694.05,0.355,64.66
KEPULAUAN SULA,2018,3304.32,100980,2287171.22,0.299,62.96
HALMAHERA SELATAN,2018,8148.9,231184,6317524.38,0.252,63.39
HALMAHERA UTARA,2018,3896.9,190519,5378465.88,0.334,67.3
HALMAHERA TIMUR,2018,6571.37,92591,3206112.66,0.253,66.2
PULAU MOROTAI,2018,2476.0,65564,1438405.88,0.26,61.39
PULAU TALIABU,2018,1469.93,52506,1325581.03,0.246,59.67
KOTA TERNATE,2018,111.39,228106,9687833.41,0.274,79.13
KOTA TIDORE KEPULAUAN,2018,1645.73,100422,2660796.74,0.308,69.89
FAKFAK,2018,14320.0,77381,4904662.1,0.397,66.99
KAIMANA,2018,16241.84,58404,2580272.03,0.44,63.67
TELUK WONDAMA,2018,3959.53,32769,1450803.87,0.41,58.86
TELUK BINTUNI,2018,20840.83,63091,28998662.89,0.387,63.13
MANOKWARI,2018,3186.28,170897,9159626.19,0.398,71.17
SORONG SELATAN,2018,6594.31,46021,1760316.66,0.422,61.01
SORONG,2018,6544.23,86994,10489106.57,0.367,64.32
RAJA AMPAT,2018,8034.44,47885,2703433.37,0.394,62.84
TAMBRAUW,2018,11529.18,13804,212314.68,0.344,51.95
MAYBRAT,2018,5461.69,40102,675632.09,0.408,58.16
MANOKWARI SELATAN,2018,2812.44,23617,757544.02,0.389,58.84
PEGUNUNGAN ARFAK,2018,2773.74,30409,187679.91,0.391,55.31
KOTA SORONG,2018,656.64,247084,15097466.21,0.33,77.35
MERAUKE,2018,44071.0,223389,14536817.92,0.388,69.38
JAYAWIJAYA,2018,13925.31,212811,7614070.79,0.318,56.82
JAYAPURA,2018,11157.15,125975,14531351.24,0.337,71.25
NABIRE,2018,11112.61,145101,10340871.94,0.367,67.7
KEPULAUAN YAPEN,2018,2050.0,95007,3907656.82,0.374,67.0
BIAK NUMFOR,2018,2602.0,144697,5183882.22,0.43,71.96
PANIAI,2018,6525.25,170193,3894878.91,0.367,55.83
PUNCAK JAYA,2018,5996.94,123591,1300994.67,0.352,47.39
MIMIKA,2018,21633.0,210413,85333875.01,0.263,73.15
BOVEN DIGOEL,2018,27108.0,66209,4566549.78,0.424,60.83
MAPPI,2018,24118.0,94671,2674531.74,0.416,57.72
ASMAT,2018,31983.69,92909,2258836.8,0.385,49.37
YAHUKIMO,2018,17152.0,187021,2231866.09,0.4,48.51
PEGUNUNGAN BINTANG,2018,15683.0,73473,1763242.6,0.38,44.22
TOLIKARA,2018,14564.0,136576,1463354.55,0.361,48.85
SARMI,2018,17742.0,38210,2534430.42,0.42,63.0
KEEROM,2018,8390.0,55018,2701905.41,0.382,65.75
WAROPEN,2018,10977.09,29480,1916368.63,0.279,64.8
SUPIORI,2018,678.32,19104,946748.46,0.382,61.84
MAMBERAMO RAYA,2018,23813.91,22313,1484862.81,0.405,51.24
NDUGA,2018,12941.0,97012,1118455.39,0.212,29.42
LANNY JAYA,2018,6077.4,176687,1676460.88,0.232,47.34
MAMBERAMO TENGAH,2018,3743.64,47487,1080533.34,0.248,46.41
YALIMO,2018,4330.29,60822,1115609.9,0.337,47.13
PUNCAK,2018,8055.0,107822,1286280.95,0.233,41.81
DOGIYAI,2018,4237.4,94997,1207712.89,0.359,54.44
INTAN JAYA,2018,3922.02,48318,1183785.69,0.358,46.55
DEIYAI,2018,537.39,72206,1267399.51,0.351,49.55
KOTA JAYAPURA,2018,935.92,293690,30422576.27,0.31,79.58
SIMEULUE,2019,1821.75,93228,2211885.58,0.34,65.7
ACEH SINGKIL,2019,1852.82,124101,2395411.85,0.282,68.91
ACEH SELATAN,2019,4175.38,238081,5479425.66,0.273,66.9
ACEH TENGGARA,2019,4179.12,216495,4906917.38,0.278,69.36
ACEH TIMUR,2019,5409.41,436081,10280799.51,0.249,67.39
ACEH TENGAH,2019,4468.42,212494,7472445.9,0.256,73.14
ACEH BARAT,2019,2782.87,210113,7964354.62,0.33,71.22
ACEH BESAR,2019,2891.48,425216,13241274.86,0.288,73.55
PIDIE,2019,3177.49,444976,10549225.37,0.249,70.41
BIREUEN,2019,1796.99,471635,12886847.77,0.295,72.27
ACEH UTARA,2019,2705.26,619407,19674952.38,0.308,69.22
ACEH BARAT DAYA,2019,1882.28,150393,3854318.59,0.301,66.56
GAYO LUES,2019,5541.29,94100,2608733.7,0.29,66.87
ACEH TAMIANG,2019,2187.66,295011,7385341.17,0.289,69.23
NAGAN RAYA,2019,3524.16,167294,7411691.61,0.252,69.11
ACEH JAYA,2019,3872.35,92892,2575142.32,0.253,69.74
BENER MERIAH,2019,1907.4,148175,4423114.94,0.267,72.97
PIDIE JAYA,2019,939.0,161215,3449866.38,0.236,72.87
BANDA ACEH,2019,56.77,270321,18569075.19,0.289,85.07
SABANG,2019,122.06,34874,1531587.09,0.281,75.77
LANGSA,2019,224.24,176811,5236223.62,0.363,77.16
LHOKSEUMAWE,2019,132.97,207202,8898379.69,0.306,77.3
SUBULUSSALAM,2019,1183.6,81417,1726924.11,0.342,64.46
NIAS,2019,902.4,143319,3824854.92,0.274,61.65
MANDAILING NATAL,2019,6547.26,447287,13544735.74,0.262,66.52
TAPANULI SELATAN,2019,4201.04,281931,13932335.09,0.247,69.75
TAPANULI TENGAH,2019,2307.68,376667,9956777.57,0.309,68.86
TAPANULI UTARA,2019,3895.6,301789,7889049.56,0.307,73.33
TOBA SAMOSIR / TOBA,2019,2291.62,183712,7675387.58,0.275,74.92
LABUHAN BATU,2019,2772.38,494178,33610429.38,0.277,71.94
ASAHAN,2019,3737.83,729795,37440406.46,0.279,69.92
SIMALUNGUN,2019,4601.48,867922,38057431.78,0.274,72.98
DAIRI,2019,2083.6,284304,9166421.25,0.287,71.42
KARO,2019,2206.88,415878,20584725.88,0.264,74.25
DELI SERDANG,2019,2581.23,2195709,109334140.0,0.273,75.43
LANGKAT,2019,6140.04,1041775,42515176.42,0.266,70.76
NIAS SELATAN,2019,2531.7,319902,6861477.66,0.319,61.59
HUMBANG HASUNDUTAN,2019,2351.51,190186,5951262.9,0.289,68.83
PAKPAK BHARAT,2019,1365.61,48935,1178215.25,0.279,67.47
SAMOSIR,2019,1850.04,126188,4434721.24,0.301,70.55
SERDANG BEDAGAI,2019,1949.18,616396,27959443.68,0.257,70.21
BATU BARA,2019,888.14,416493,34047849.02,0.277,68.35
PADANG LAWAS UTARA,2019,3945.56,272713,11619731.69,0.27,69.29
PADANG LAWAS,2019,3914.41,281239,11371986.51,0.231,68.16
LABUHAN BATU SELATAN,2019,3079.61,338982,27132303.86,0.25,71.39
LABUHAN BATU UTARA,2019,3686.01,363816,24378344.14,0.267,71.43
NIAS UTARA,2019,1238.06,137967,3515983.26,0.284,61.98
NIAS BARAT,2019,464.22,82154,1816847.82,0.258,61.14
KOTA SIBOLGA,2019,11.47,87626,5531543.45,0.272,73.41
KOTA TANJUNG BALAI,2019,60.07,175223,8951450.97,0.268,68.51
KOTA PEMATANG SIANTAR,2019,75.92,255317,13933249.49,0.33,78.57
KOTA TEBING TINGGI,2019,39.17,164402,5924199.35,0.324,75.08
KOTA MEDAN,2019,279.29,2279894,241482349.9,0.352,80.97
KOTA BINJAI,2019,93.77,276597,11700098.06,0.351,75.89
KOTA PADANGSIDIMPUAN,2019,159.3,221827,6373126.29,0.31,75.06
KOTA GUNUNGSITOLI,2019,208.68,142426,5513916.66,0.318,69.3
KEPULAUAN MENTAWAI,2019,5983.22,92000,4665093.44,0.336,61.26
PESISIR SELATAN,2019,6045.65,463900,14037128.66,0.246,70.08
SOLOK,2019,3590.4,373400,13580513.02,0.285,69.08
SIJUNJUNG,2019,3150.58,237400,9148878.97,0.293,67.66
TANAH DATAR,2019,1377.19,348200,13090685.71,0.278,72.14
PADANG PARIAMAN,2019,1342.27,415600,21255473.34,0.297,70.59
AGAM,2019,2226.27,491300,20540992.18,0.251,72.37
LIMA PULUH KOTA,2019,3273.41,382800,15625340.42,0.238,69.67
PASAMAN,2019,3902.44,281200,8907768.5,0.33,66.46
SOLOK SELATAN,2019,3282.14,171100,5574519.08,0.295,68.94
DHARMASRAYA,2019,2920.93,247600,10349563.18,0.278,71.52
PASAMAN BARAT,2019,3852.99,443700,15401338.08,0.283,68.21
KOTA PADANG,2019,694.38,950900,62420470.82,0.312,82.68
KOTA SOLOK,2019,58.72,71000,4047979.83,0.271,78.38
KOTA SAWAH LUNTO,2019,231.95,62500,3679850.22,0.289,72.39
KOTA PADANG PANJANG,2019,23.56,53700,3474832.65,0.322,78.0
KOTA BUKITTINGGI,2019,24.17,130800,8695316.61,0.267,80.71
KOTA PAYAKUMBUH,2019,74.55,135600,6825167.93,0.276,78.95
KOTA PARIAMAN,2019,64.77,88500,5005498.56,0.3,76.7
KUANTAN SINGINGI,2019,5457.86,327316,31869962.39,317.0,70.78
INDRAGIRI HULU,2019,7871.85,441789,41592733.57,295.0,70.05
INDRAGIRI HILIR,2019,13521.26,740598,62697908.77,303.0,66.84
PELALAWAN,2019,13262.11,483622,47732021.83,280.0,71.85
SIAK,2019,7805.54,489996,82105132.65,298.0,74.07
KAMPAR,2019,10352.8,871117,77267151.39,300.0,73.15
ROKAN HULU,2019,7658.15,69212,33882260.19,306.0,69.93
BENGKALIS,2019,8616.36,573003,140378907.1,288.0,73.44
ROKAN HILIR,2019,9068.46,714497,74588117.75,306.0,69.4
KEPULAUAN MERANTI,2019,3623.56,185516,18394545.3,302.0,65.93
KOTA PEKANBARU,2019,638.33,1143359,118763892.1,363.0,81.35
KOTA DUMAI,2019,2059.61,308812,36147146.52,361.0,74.64
KERINCI,2019,3445.2,238700,9912468.66,0.29,70.95
MERANGIN,2019,7540.12,388900,15288073.47,0.31,69.07
SAROLANGUN,2019,5935.89,301900,15126920.14,0.27,69.72
BATANG HARI,2019,5387.52,272900,16463293.47,0.31,69.67
MUARO JAMBI,2019,5225.8,443400,24294993.41,0.29,69.01
TANJUNG JABUNG TIMUR,2019,4546.62,220000,24680300.18,0.29,63.92
TANJUNG JABUNG BARAT,2019,5546.06,333900,42945449.52,0.28,67.54
TEBO,2019,6103.74,354500,14593435.01,0.26,69.02
BUNGO,2019,4760.83,374800,17895939.78,0.33,69.86
KOTA JAMBI,2019,169.89,604700,30636929.87,0.34,78.26
KOTA SUNGAI PENUH,2019,364.92,90900,7479424.37,0.33,75.36
OGAN KOMERING ULU,2019,3774.5,368756,14647672.61,0.32,69.45
OGAN KOMERING ILIR,2019,17071.33,832151,28752468.86,0.28,66.96
MUARA ENIM,2019,6763.91,637556,57333510.43,0.323,68.88
LAHAT,2019,4333.07,409348,17130200.59,0.334,67.62
MUSI RAWAS,2019,6122.59,405175,19062784.3,0.239,66.92
MUSI BANYUASIN,2019,14550.79,649085,65810995.08,0.309,67.83
BANYU ASIN,2019,12262.76,857097,28655740.78,0.329,66.9
OGAN KOMERING ULU SELATAN,2019,4369.25,363004,8785707.21,0.323,65.43
OGAN KOMERING ULU TIMUR,2019,3412.72,67708,14935851.05,0.276,69.34
OGAN ILIR,2019,2302.86,429595,11159403.69,0.347,67.22
EMPAT LAWANG,2019,2234.1,250465,4991079.29,0.318,65.1
PENUKAL ABAB LEMATANG ILIR,2019,1842.56,190062,7083680.44,0.321,64.33
MUSI RAWAS UTARA,2019,5937.8,192540,7103694.8,0.267,64.32
KOTA PALEMBANG,2019,352.51,1674243,154220318.1,0.345,78.44
KOTA PRABUMULIH,2019,447.31,188669,7791060.71,0.344,74.4
KOTA PAGAR ALAM,2019,625.91,139192,2791616.17,0.329,68.44
KOTA LUBUKLINGGAU,2019,367.73,233178,6643681.12,0.321,74.81
BENGKULU SELATAN,2019,1219.22,168936,5707513.37,0.32,70.27
REJANG LEBONG,2019,1559.42,279436,9368975.74,0.3,70.1
BENGKULU UTARA,2019,4481.99,285852,8250039.75,0.3,68.8
KAUR,2019,2608.56,130266,3524507.74,0.29,66.78
SELUMA,2019,2432.16,212367,4613171.16,0.3,66.69
MUKOMUKO,2019,4138.68,182338,5155269.33,0.29,68.12
LEBONG,2019,1666.62,107119,3346031.32,0.31,66.84
KEPAHIANG,2019,738.97,151682,4318930.18,0.27,67.67
BENGKULU TENGAH,2019,1132.38,114043,4606570.36,0.26,67.3
KOTA BENGKULU,2019,150.35,369539,23210398.95,0.36,80.35
LAMPUNG BARAT,2019,2107.99,302828,7095651.44,0.296,67.5
TANGGAMUS,2019,2947.59,598299,15590931.0,0.314,66.37
LAMPUNG SELATAN,2019,2227.38,1011286,44685372.69,0.331,68.22
LAMPUNG TIMUR,2019,3860.92,1044320,41604649.03,0.302,69.34
LAMPUNG TENGAH,2019,4559.57,1281310,71017112.22,0.308,70.04
LAMPUNG UTARA,2019,2669.3,616897,23780218.4,0.309,67.63
WAY KANAN,2019,3522.11,450109,13981191.16,0.299,67.19
TULANGBAWANG,2019,3116.06,450902,23063585.89,0.322,68.23
PESAWARAN,2019,1288.08,444380,16208211.81,0.31,65.75
PRINGSEWU,2019,617.19,400187,11156953.24,0.295,69.97
MESUJI,2019,2200.41,200198,10409225.01,0.286,63.52
TULANG BAWANG BARAT,2019,1257.09,273215,11445302.94,0.316,65.93
PESISIR BARAT,2019,2939.6,154895,4687389.87,0.33,63.79
KOTA BANDAR LAMPUNG,2019,183.75,1051500,59203979.34,0.316,77.33
KOTA METRO,2019,73.21,167411,6320907.78,0.342,76.77
BANGKA,2019,3016.85,337337,13765427.63,0.269,72.39
BELITUNG,2019,2270.71,189824,9856802.27,0.269,72.46
BANGKA BARAT,2019,2851.41,213163,14157204.8,0.269,69.05
