Province/Regency/City,2016,2017,2018,2019,2020,2021,2022,2023
LAMPUNG,67.65,68.25,69.02,69.57,69.69,69.9,70.45,71.15
Lampung Barat,65.45,66.06,66.74,67.5,67.8,67.9,68.39,69.11
Tanggamus,64.41,64.94,65.67,66.37,66.42,66.65,67.22,67.86
Lampung Selatan,66.19,66.95,67.68,68.22,68.36,68.49,69,69.63
Lampung Timur,67.88,68.05,69.04,69.34,69.37,69.66,70.58,71.21
Lampung Tengah,68.33,68.95,69.73,70.04,70.16,70.23,70.8,71.6
Lampung Utara,65.95,66.58,67.17,67.63,67.67,67.89,68.33,68.95
Way Kanan,65.74,65.97,66.63,67.19,67.44,67.57,68.04,68.63
Tulangbawang,66.74,67.07,67.7,68.23,68.52,68.73,69.53,70.02
Pesawaran,63.47,64.43,64.97,65.75,65.79,66.14,66.7,67.67
Pringsewu,68.26,68.61,69.42,69.97,70.3,70.45,70.98,71.61
Mesuji,60.72,61.87,62.88,63.52,63.63,64.04,64.94,65.64
Tulang Bawang Barat,63.77,64.58,65.3,65.93,65.97,66.22,67.13,67.81
Pesisir Barat,61.5,62.2,62.96,63.79,63.91,64.3,65.14,66
Kota Bandar Lampung,75.34,75.98,76.63,77.33,77.44,77.58,78.01,78.56
Kota Metro,75.45,75.87,76.22,76.77,77.19,77.49,77.89,78.36
KEP. BANGKA BELITUNG,69.55,69.99,70.67,71.3,71.47,71.69,72.24,72.85
Bangka,70.43,71.09,71.8,72.39,72.4,72.46,72.95,73.66
Belitung,70.81,70.93,71.7,72.46,72.51,72.57,73.38,74.02
Bangka Barat,67.6,67.94,68.68,69.05,69.08,69.6,70.12,70.45
Bangka Tengah,68.76,68.99,69.52,70.33,70.45,70.89,71.4,71.71
Bangka Selatan,64.57,65.02,65.98,66.54,66.9,67.06,67.95,68.51
Belitung Timur,69.3,69.57,70.22,70.84,70.92,71.42,72.29,72.86
Kota Pangkal Pinang,76.73,76.86,77.43,77.97,78.22,78.57,79.24,79.93
KEPULAUAN RIAU,73.99,74.45,74.84,75.48,75.59,75.79,76.46,77.11
Karimun,69.84,70.26,70.56,71.1,71.44,71.7,72.65,73.51
Bintan,72.38,72.91,73.41,73.98,74.13,74.57,74.99,75.7
Natuna,71.23,71.52,72.1,72.63,72.72,73.09,73.47,74.21
Lingga,62.44,63.45,64.06,64.98,65.29,65.83,66.57,67.44
Kepulauan Anambas,66.3,67.06,67.53,68.48,68.8,69.23,69.61,70.26
Kota Batam,79.79,80.26,80.54,81.09,81.11,81.12,81.67,82.11
Kota Tanjung Pinang,77.77,78,78.33,78.73,78.91,78.93,79.64,80.23
DKI JAKARTA,79.6,80.06,80.47,80.76,80.77,81.11,81.65,82.46
Kep. Seribu,69.52,70.11,70.91,71.4,71.63,72.1,72.79,73.39
Kota Jakarta Selatan,83.94,84.13,84.44,84.75,84.72,84.9,85.21,86.07
Kota Jakarta Timur,81.28,81.61,82.06,82.69,82.66,82.97,83.45,84.13
Kota Jakarta Pusat,80.22,80.49,81.01,81.24,81.39,81.56,82.11,82.53
Kota Jakarta Barat,80.34,80.47,80.88,81.21,81.38,81.76,82.51,83.02
Kota Jakarta Utara,78.78,79.47,79.87,80.17,80.29,80.51,80.81,81.11
JAWA BARAT,70.05,70.69,71.3,72.03,72.09,72.45,73.12,73.74
Bogor,68.32,69.13,69.69,70.65,70.4,70.6,71.2,71.78
Sukabumi,65.13,65.49,66.05,66.87,66.88,67.07,67.64,68.49
Cianjur,62.92,63.7,64.62,65.38,65.36,65.56,65.94,66.55
Bandung,70.69,71.02,71.75,72.41,72.39,72.73,73.16,73.74
Garut,63.64,64.52,65.42,66.22,66.12,66.45,67.41,68.11
Tasikmalaya,63.57,64.14,65,65.64,65.67,65.9,66.84,67.76
Ciamis,68.45,68.87,69.63,70.39,70.49,70.93,71.45,72.05
Kuningan,67.51,67.78,68.55,69.12,69.38,69.71,70.16,70.72
Cirebon,66.7,67.39,68.05,68.69,68.75,69.12,70.06,70.95
Majalengka,65.25,65.92,66.72,67.52,67.59,67.81,68.56,69.13
Sumedang,69.45,70.07,70.99,71.46,71.64,71.8,72.69,73.18
Indramayu,64.78,65.58,66.36,66.97,67.29,67.64,68.55,69.25
Subang,67.14,67.73,68.31,68.69,68.95,69.13,69.87,70.7
Purwakarta,68.56,69.28,69.98,70.67,70.82,70.98,71.56,72.09
Karawang,68.19,69.17,69.89,70.86,70.66,70.94,71.74,72.35
Bekasi,71.83,72.63,73.49,73.99,74.07,74.45,75.22,75.76
Bandung Barat,65.81,66.63,67.46,68.27,68.08,68.29,69.04,69.61
Pangandaran,65.79,66.6,67.44,68.21,68.06,68.28,69.03,69.38
Kota Bogor,74.5,75.16,75.66,76.23,76.11,76.59,77.17,77.85
Kota Sukabumi,72.33,73.03,73.55,74.31,74.21,74.6,75.4,76.32
Kota Bandung,80.13,80.31,81.06,81.62,81.51,81.96,82.5,83.04
Kota Cirebon,73.7,74,74.35,74.92,74.89,75.25,75.89,76.46
Kota Bekasi,79.95,80.3,81.04,81.59,81.5,81.95,82.46,83.03
Kota Depok,79.6,79.83,80.29,80.82,80.97,81.37,81.86,82.38
Kota Cimahi,76.69,76.95,77.56,78.11,77.83,78.06,78.77,79.46
Kota Tasikmalaya,70.58,71.51,72.03,72.84,73.04,73.31,73.83,74.47
Kota Banjar,70.09,70.79,71.25,71.75,71.7,71.92,72.55,73.08
JAWA TENGAH,69.98,70.52,71.12,71.73,71.87,72.16,72.79,73.39
Cilacap,68.6,68.9,69.56,69.98,69.95,70.42,70.99,71.83
Banyumas,70.49,70.75,71.3,71.96,71.98,72.44,73.17,73.86
Purbalingga,67.48,67.72,68.41,68.99,68.97,69.15,69.54,70.24
Banjarnegara,65.52,65.86,66.54,67.34,67.45,67.86,68.61,69.14
Kebumen,67.41,68.29,68.8,69.6,69.81,70.05,70.79,71.37
Purworejo,70.66,71.31,71.87,72.5,72.68,72.98,73.6,74.28
Wonosobo,66.19,66.89,67.81,68.27,68.22,68.43,68.89,69.37
Magelang,67.85,68.39,69.11,69.87,69.87,70.12,70.85,71.45
Boyolali,72.18,72.64,73.22,73.8,74.25,74.4,74.97,75.41
Klaten,73.97,74.25,74.79,75.29,75.56,76.12,76.95,77.59
Sukoharjo,75.06,75.56,76.07,76.84,76.98,77.13,77.94,78.65
Wonogiri,68.23,68.66,69.37,69.98,70.25,70.49,71.04,71.97
Karanganyar,74.9,75.22,75.54,75.89,75.86,75.99,76.58,77.31
Sragen,71.43,72.4,72.96,73.43,73.95,74.08,74.65,75.1
Grobogan,68.52,68.87,69.32,69.86,69.87,70.41,70.97,71.49
Blora,66.61,67.52,67.95,68.65,68.84,69.37,69.95,70.63
Rembang,68.6,68.95,69.46,70.15,70.02,70.43,71,71.89
Pati,69.03,70.12,70.71,71.35,71.77,72.28,73.14,73.59
Kudus,72.94,73.84,74.58,74.94,75,75.16,75.89,76.71
Jepara,70.25,70.79,71.38,71.88,71.99,72.36,73.15,73.85
Demak,70.1,70.41,71.26,71.87,72.22,72.57,73.36,74.07
Semarang,72.4,73.2,73.61,74.14,74.1,74.24,74.67,75.13
Temanggung,67.6,68.34,68.83,69.56,69.57,69.88,70.77,71.33
Kendal,70.11,70.62,71.28,71.97,72.29,72.5,73.19,73.86
Batang,66.38,67.35,67.86,68.42,68.65,68.92,69.45,70.2
Pekalongan,67.71,68.4,68.97,69.71,69.63,70.11,70.81,71.4
Pemalang,64.17,65.04,65.67,66.32,66.32,66.56,67.19,68.03
Tegal,65.84,66.44,67.33,68.24,68.39,68.79,69.53,70.23
Brebes,63.98,64.86,65.68,66.12,66.11,66.32,67.03,67.95
Kota Magelang,77.16,77.84,78.31,78.8,78.99,79.43,80.39,81.17
Kota Surakarta,80.76,80.85,81.46,81.86,82.21,82.62,83.08,83.54
Kota Salatiga,81.14,81.68,82.41,83.12,83.14,83.6,84.35,84.99
Kota Semarang,81.19,82.01,82.72,83.19,83.05,83.55,84.08,84.43
Kota Pekalongan,73.32,73.77,74.24,74.77,74.98,75.4,75.9,76.71
Kota Tegal,73.55,73.95,74.44,74.93,75.07,75.52,76.15,77.02
D I YOGYAKARTA,78.38,78.89,79.53,79.99,79.97,80.22,80.64,81.07
Kulon Progo,72.38,73.23,73.76,74.44,74.46,74.71,75.46,75.79
Bantul,78.42,78.67,79.45,80.01,80.01,80.28,80.69,81.39
Gunung Kidul,67.82,68.73,69.24,69.96,69.98,70.16,70.96,71.24
Sleman,82.15,82.85,83.42,83.85,83.84,84,84.31,84.77
Kota Yogyakarta,85.32,85.49,86.11,86.65,86.61,87.18,87.69,88.28
JAWA TIMUR,69.74,70.27,70.77,71.5,71.71,72.14,72.75,73.38
Pacitan,65.74,66.51,67.33,68.16,68.39,68.57,69.37,70.19
Ponorogo,68.93,69.26,69.91,70.56,70.81,71.06,71.87,72.5
Trenggalek,67.78,68.1,68.71,69.46,69.74,70.06,71,71.73
Tulungagung,70.82,71.24,71.99,72.62,73,73.15,74.06,74.61
Blitar,68.88,69.33,69.93,70.57,70.58,71.05,71.86,72.49
Kediri,69.87,70.47,71.07,71.85,72.05,72.56,73.46,73.96
Malang,67.51,68.47,69.4,70.35,70.36,70.6,71.38,72.16
Lumajang,63.74,64.23,64.83,65.33,65.46,66.07,66.95,67.87
Jember,64.01,64.96,65.96,66.69,67.11,67.32,67.97,68.64
Banyuwangi,69,69.64,70.06,70.6,70.62,71.38,71.94,72.61
Bondowoso,64.52,64.75,65.27,66.09,66.43,66.59,67.31,67.99
Situbondo,65.08,65.68,66.42,67.09,67.38,67.78,68.25,69.16
Probolinggo,64.12,64.28,64.85,65.6,66.07,66.26,66.96,67.79
Pasuruan,65.71,66.69,67.41,68.29,68.6,68.93,69.68,70.29
Sidoarjo,78.17,78.7,79.5,80.05,80.29,80.65,81.02,81.55
Mojokerto,71.38,72.36,72.64,73.53,73.83,74.15,74.89,75.53
Jombang,70.03,70.88,71.86,72.85,72.97,73.45,74.05,74.6
Nganjuk,70.5,70.69,71.23,71.71,71.72,71.97,72.93,73.71
Madiun,69.67,70.27,71.01,71.69,71.73,71.88,72.39,72.97
Magetan,71.94,72.6,72.91,73.49,73.92,74.15,74.85,75.41
Ngawi,68.96,69.27,69.91,70.41,70.54,71.04,71.75,72.47
Bojonegoro,66.73,67.28,67.85,68.75,69.04,69.59,70.12,70.85
Tuban,66.19,66.77,67.43,68.37,68.4,68.91,69.67,70.34
Lamongan,70.34,71.11,71.97,72.57,72.58,73.12,74.02,74.53
Gresik,74.46,74.84,75.28,76.1,76.11,76.5,77.16,77.98
Bangkalan,62.06,62.3,62.87,63.79,64.11,64.36,65.05,65.75
Sampang,59.09,59.9,61,61.94,62.7,62.8,63.39,64.13
Pamekasan,63.98,64.93,65.41,65.94,66.26,66.4,66.99,67.96
Sumenep,63.42,64.28,65.25,66.22,66.43,67.04,67.87,68.61
Kota Kediri,76.33,77.13,77.58,78.08,78.23,78.6,79.59,80.44
Kota Blitar,76.71,77.1,77.58,78.56,78.57,78.98,79.93,80.63
Kota Malang,80.46,80.65,80.89,81.32,81.45,82.04,82.71,83.39
Kota Probolinggo,71.5,72.09,72.53,73.27,73.27,73.66,74.56,75.43
Kota Pasuruan,74.11,74.39,74.78,75.25,75.26,75.62,76.54,77.17
Kota Mojokerto,76.38,76.77,77.14,77.96,78.04,78.43,79.32,80.07
Kota Madiun,80.01,80.13,80.33,80.88,80.91,81.25,82.01,82.71
Kota Surabaya,80.38,81.07,81.74,82.22,82.23,82.31,82.74,83.45
Kota Batu,73.57,74.26,75.04,75.88,75.9,76.28,77.22,78.18
BANTEN,70.96,71.42,71.95,72.44,72.45,72.72,73.32,73.87
Pandeglang,63.4,63.82,64.34,64.91,65,65.17,65.84,66.42
Lebak,62.78,62.95,63.37,63.88,63.91,64.03,64.71,65.21
Tangerang,70.44,70.97,71.59,71.93,71.92,72.29,72.97,73.43
Serang,65.12,65.6,65.93,66.38,66.7,66.82,67.75,68.39
Kota Tangerang,76.81,77.01,77.92,78.43,78.25,78.5,78.9,79.46
Kota Cilegon,72.04,72.29,72.65,73.01,73.05,73.35,73.95,74.54
Kota Serang,71.09,71.31,71.68,72.1,72.16,72.44,72.98,73.48
Kota Tangerang Selatan,80.11,80.84,81.17,81.48,81.36,81.6,81.95,82.28
BALI,73.65,74.3,74.77,75.38,75.5,75.69,76.44,77.1
Jembrana,70.38,70.72,71.65,72.35,72.36,72.75,73.58,74.04
Tabanan,74.19,74.86,75.45,76.16,76.17,76.45,76.75,77.43
Badung,79.8,80.54,80.87,81.59,81.6,81.83,82.13,83.08
Gianyar,75.7,76.09,76.71,77.14,77.36,77.7,78.39,79.24
Klungkung,69.31,70.13,70.9,71.71,71.73,71.75,72.55,73.11
Bangli,67.03,68.24,68.96,69.35,69.36,69.37,70.26,70.79
Karangasem,65.23,65.57,66.49,67.34,67.35,67.36,68.28,68.91
Buleleng,70.65,71.11,71.7,72.3,72.55,72.56,73.45,73.97
Kota Denpasar,82.58,83.01,83.3,83.68,83.93,84.03,84.37,84.73
NUSA TENGGARA BARAT,65.81,66.58,67.3,68.14,68.25,68.65,69.46,70.2
Lombok Barat,65.55,66.37,67.18,68.03,68.2,68.61,69.41,70.15
Lombok Tengah,63.22,64.36,65.36,66.36,66.43,66.72,67.57,68.4
Lombok Timur,63.7,64.37,65.35,66.23,66.3,66.66,67.59,68.41
Sumbawa,64.89,65.84,66.77,67.6,67.61,68.01,68.89,69.87
Dompu,65.48,66.33,66.97,67.83,67.84,68.45,69.15,69.98
Bima,64.15,65.01,65.62,66.37,66.3,66.66,67.57,68.28
Sumbawa Barat,69.26,70.08,70.71,71.52,71.63,71.85,72.65,73.17
Lombok Utara,62.24,63.04,63.83,64.49,64.42,64.77,65.7,66.62
Kota Mataram,77.2,77.84,78.43,79.1,78.91,79.14,79.59,80.09
Kota Bima,73.67,74.36,75.04,75.8,75.81,76.11,76.84,77.36
NUSA TENGGARA TIMUR,63.13,63.73,64.39,65.23,65.19,65.28,65.9,66.68
Sumba Barat,61.85,62.3,62.91,63.56,63.53,63.83,64.43,65.22
Sumba Timur,63.22,64.19,64.65,65.34,65.52,65.74,66.17,67.05
Kupang,62.39,62.79,63.55,64.43,64.32,64.41,65.04,65.82
Timor Tengah Selatan,60.37,61.08,61.58,62.23,62.15,62.16,62.73,63.58
Timor Tengah Utara,61.54,62.03,62.65,63.34,63.53,63.69,64.26,65.16
Belu,61.04,61.44,61.86,62.54,62.68,62.77,63.22,63.83
Alor,58.99,59.61,60.14,61.03,61.33,61.37,62.26,62.99
Lembata,62.81,63.09,63.96,64.91,64.74,64.75,65.47,66.12
Flores Timur,61.9,62.89,63.55,64.34,64.22,64.22,64.93,65.79
Sikka,62.42,63.08,63.89,64.75,65.11,65.41,66.06,66.89
Ende,65.74,66.11,66.62,67.2,67.04,67.3,67.97,68.63
Ngada,65.61,66.47,67.1,67.76,67.88,67.88,68.26,69.14
Manggarai,61.67,62.24,63.32,64.15,64.54,65.01,65.83,66.42
Rote Ndao,59.28,60.51,61.51,62.22,62.39,62.6,63.21,64
Manggarai Barat,60.63,61.65,62.58,63.5,63.89,64.17,64.92,65.81
Sumba Tengah,58.52,59.39,60.07,61.01,61.53,61.8,62.71,63.48
Sumba Barat Daya,61.31,61.46,61.89,62.6,62.28,62.29,63.15,63.74
Nagekeo,63.93,64.74,65.35,65.88,65.81,65.82,66.22,67.07
Manggarai Timur,57.5,58.51,59.49,60.47,60.85,61.37,62.3,63.24
Sabu Raijua,54.16,55.22,55.79,56.66,57.02,57.03,57.9,58.89
Malaka,58.29,58.9,59.66,60.34,60.21,60.42,61.34,62.06
