Province/Regency/City,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,,,,,,,,
Brebes,1796004,1802829,1809096,1978759,1992685,2010617,,,,,,,,
Kota Magelang,121474,121872,122111,121526,121610,121675,,,,,,,,
Kota Surakarta,516102,517887,519587,522364,522728,523008,,,,,,,,
Kota Salatiga,188928,191571,194084,192322,193525,195065,,,,,,,,
Kota Semarang,1757686,1786114,1814110,1653524,1656564,1659975,,,,,,,,
Kota Pekalongan,301870,304477,307097,307150,308310,309742,,,,,,,,
Kota Tegal,248094,249003,249905,273825,275781,278299,,,,,,,,
D I YOGYAKARTA,3762167,3818266,3842932,3668719,3712896,3761870,,,,,,,,
Kulon Progo,421295,426767,430220,436395,443283,451342,,,,,,,,
Bantul,995264,1009171,1018402,98577,998647,1013170,,,,,,,,
Gunung Kidul,729364,740 181	,742731,747161,758168,770883,,,,,,,,
Sleman,1192512,1 214 346	,1219640,1125804,1136474,1147562,,,,,,,,
Kota Yogyakarta,422732,427 801	,431939,373589,376324,378913,,,,,,,,
JAWA TIMUR,39292971,39500851,39698631,40665696,40878789,41149974,,,,,,,,
Pacitan,553388,554394,555304,586110,589108,592916,,,,,,,,
Ponorogo,869894,870705,871370,949318,955839,964253,,,,,,,,
Trenggalek,693104,694902,696295,731125,734888,739669,,,,,,,,
Tulungagung,1030790,1035290,1039284,1089775,1096588,1105337,,,,,,,,
Blitar,1153803,1157500,1160677,1223745,1231013,1240322,,,,,,,,
Kediri,1561392,1568113,1574272,1635294,1644400,1656020,,,,,,,,
Malang,2576596,2591795,2606204,2654448,2668296,2685900,,,,,,,,
Lumajang,1036823,1039794,1042395,1119251,1127094,1137227,,,,,,,,
Jember,2430185,2440714,2450668,2536729,2550360,2567718,,,,,,,,
Banyuwangi,1604897,1609677,1613991,1708114,1718462,1731731,,,,,,,,
Bondowoso,768912,772297,775715,776151,778525,781417,,,,,,,,
Situbondo,676703,679993,682978,685967,688337,691260,,,,,,,,
Probolinggo,1155214,1162092,1168503,1152537,1155894,1159965,,,,,,,,
Pasuruan,1605307,1616578,1627396,1605969,1611805,1619035,,,,,,,,
