Kabupaten/kota,Luas wilayah (km2)[2]
Lamandau,6414
Murung Raya,237
Pulang Pisau,8997
Seruyan,16404
Sukamara,3827
Kota Palangka Raya,2399.5
Kalimantan Selatan,38744.23
Balangan,1878.3
Banjar,4668
Barito Kuala,2996.46
Hulu Sungai Selatan,1804.94
Hulu Sungai Tengah,1472
Hulu Sungai Utara,892.7
Kotabaru,9482.73
Tabalong,3766.97
Tanah Bumbu,5006.96
Tanah Laut,3631.35
Tapin,2700.82
Kota Banjarbaru,371
Kota Banjarmasin,72
Kalimantan Timur,148137.31
Berau,36962.37
Kutai Barat,20384.6
Kutai Kartanegara,27263.1
Kutai Timur,35747.5
Mahakam Ulu,15315
Paser,7730.88
Penajam Paser Utara,3333.06
Kota Balikpapan,533
Kota Bontang,149.8
Kota Samarinda,718
Kalimantan Utara,75467.7
Bulungan,13925.72
Malinau,42620.7
Nunukan,13841.9
Tana Tidung,4828.58
Kota Tarakan,250.8
Sulawesi Utara,17441.05
Bolaang Mongondow,5397.69
Bolaang Mongondow Selatan,1932.6
Bolaang Mongondow Timur,910.18
Bolaang Mongondow Utara,1856.86
Kepulauan Sangihe,736.98
Kepulauan Siau Tagulandang Biaro,275.96
Kepulauan Talaud,1251.02
Minahasa,1025.85
Minahasa Selatan,1456.46
Minahasa Tenggara,730.63
Minahasa Utara,1059.24
Kota Bitung,313.51
Kota Kotamobagu,184.33
Kota Manado,162.53
Kota Tomohon,147.21
Sulawesi Tengah,66418.8
Banggai,9672.7
Banggai Kepulauan,2488.79
Banggai Laut,725.67
Buol,4043.57
Donggala,5275.69
Morowali,5472
Morowali Utara,10004.28
Parigi Moutong,6231.85
Poso,7112.25
Sigi,5196.02
Tojo Una-Una,5721.15
Tolitoli,4079.77
Kota Palu,395.06
Sulawesi Selatan,45119.16
Bantaeng,395.83
Barru,1174.72
Bone,4559
Bulukumba,1154.58
Enrekang,1786.01
Gowa,1883.33
Jeneponto,749.79
Kepulauan Selayar,1357.03
Luwu,2909.08
Luwu Timur,6944.88
Luwu Utara,7502.58
Maros,1619.12
Pangkajene dan Kepulauan,898.29
Pinrang,1961.77
Sidenreng Rappang,1102.1
Sinjai,819.96
Soppeng,1500
Takalar,566.51
Tana Toraja,2054.3
Toraja Utara,1151.47
Wajo,2506.19
Kota Makassar,175.77
Kota Palopo,247.52
Kota Parepare,99.33
Sulawesi Tenggara,39439.18
Bombana,3316.16
Buton,1648.04
Buton Selatan,510
Buton Tengah,958
Buton Utara,1923.03
Kolaka,3283.59
Kolaka Timur,3992.53
Kolaka Utara,3392
Konawe,6087.68
Konawe Kepulauan,867.58
Konawe Selatan,4237.74
Konawe Utara,5101.76
Muna,2057.69
Muna Barat,1022.89
Wakatobi,473.62
Kota Baubau,295.07
Kota Kendari,271.8
Gorontalo,12776.62
Boalemo,2567.36
Bone Bolango,1984.31
Kab Gorontalo,2124.6
Gorontalo Utara,1777.02
Pohuwato,4244.31
Kota Gorontalo,79.02
Sulawesi Barat,17100.53
Majene,947.84
Mamasa,3005.88
Mamuju,4979.89
Mamuju Tengah,3100.87
Pasangkayu,3043.75
Polewali Mandar,2022.3
Maluku,46914.03
Buru,4932.32
Buru Selatan,3780.56
Kepulauan Aru,8152.42
Kepulauan Tanimbar,4465.79
Maluku Barat Daya,4581.06
Maluku Tengah,7953.81
Maluku Tenggara,1031.81
Seram Bagian Barat,5033.38
Seram Bagian Timur,6429.88
Kota Ambon,298.61
Kota Tual,254.39
Maluku Utara,31982.5
Halmahera Barat,1704.2
Halmahera Selatan,8148.9
Halmahera Tengah,2653.76
Halmahera Timur,6571.37
Halmahera Utara,3896.9
Kepulauan Sula,3304.32
Pulau Morotai,2476
Pulau Taliabu,1469.93
Kota Ternate,111.39
Kota Tidore Kepulauan,1645.73
Papua,78346.39
Biak Numfor,2602
Jayapura,11157.15
Keerom,8390
Kepulauan Yapen,2050
Mamberamo Raya,23813.91
Sarmi,17742
Supiori,678.32
Waropen,10977.09
Kota Jayapura,935.92
Papua Barat,64134.66
Fakfak,14320
Kaimana,16241.84
Manokwari,3186.28
Manokwari Selatan,2812.44
Pegunungan Arfak,2773.74
Teluk Bintuni,20840.83
Teluk Wondama,3959.53
Papua Selatan,127280.69
Asmat,31983.69
Boven Digoel,27108
Mappi,24118
Merauke,44071
Papua Tengah,62019.61
Deiyai,537.39
Dogiyai,4237.4
Intan Jaya,3922.02
Mimika,21633
Nabire,11112.61
Paniai,6525.25
Puncak,8055
Puncak Jaya,5996.94
Papua Pegunungan,88416.64
Jayawijaya,13925.31
Lanny Jaya,6077.4
Mamberamo Tengah,3743.64
Nduga,12941
Pegunungan Bintang,15683
Tolikara,14564
Yalimo,4330.29
Yahukimo,17152
Papua Barat Daya,38820.49
Maybrat,5461.69
Raja Ampat,8034.44
Sorong,6544.23
Sorong Selatan,6594.31
Tambrauw,11529.18
Kota Sorong,656.64
