Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Kota Prabumulih,6109113.84,6586289.06,7169125.12,7791060.71,7867323.17,8346926.47,9208497.28
Kota Pagar Alam,2414362.3,2548519.71,2673294.03,2791616.17,2830353.47,3002935.38,3258978.46
Kota Lubuklinggau,5150602.92,5636432.14,6135202.03,6643681.12,6717981.52,7030467.87,7687846.55
Bengkulu Selatan,4439346.38,4872689.59,5302895.82,5707513.37,5819775.1,6196612.34,6712801.42
Rejang Lebong,7255545.34,7946952.77,8685050.7,9368975.74,9537298.77,10091527.86,10992823.83
Bengkulu Utara,6355318,6977776.77,7609325.45,8250039.75,8416315.32,9854645.73,12318650.39
Kaur,2711624.2,2967017.65,3239535.5,3524507.74,3612336.74,3900866.44,4226602.61
Seluma,3501665.37,3840069.99,4215214.35,4613171.16,4730445.4,5053600.65,5436499.7
Mukomuko,3947820.99,4335451.57,4744397.67,5155269.33,5266948.73,5693090.06,6217187.99
Lebong,2593975.87,2859948.65,3092456.97,3346031.32,3400862.2,3627781.81,3888916.74
Kepahiang,3280545.29,3637168.66,3981493.92,4318930.18,4409812.3,4748460.94,5160762.18
Bengkulu Tengah,3564775.75,3902668.69,4253687.13,4606570.36,4672104.07,5466242.46,6544556.08
Kota Bengkulu,17550068.62,19277488.21,21223089.15,23210398.95,23498494.85,24974924.45,28090428.96
Lampung Barat,5617121.06,6116299.64,6590613.92,7095651.44,7131893.53,7482740.24,8281933.94
Tanggamus,12328002.55,13414930.28,14514451.95,15590931,15467655.86,16337174.45,18123759.42
Lampung Selatan,34915655.18,38322378.83,41586070.38,44685372.69,44293004.62,46426125.14,51707274.27
Lampung Timur,33085538.85,36143304.94,39350063.3,41604649.03,40673064.7,43850059.63,49800664.74
Lampung Tengah,55171371.03,60955292.63,66094623.15,71017112.22,71070419.6,74335949.95,82454637.32
Lampung Utara,18745986.53,20532899.6,22137786.99,23780218.4,23765918.96,24865074.77,27006930.94
Way Kanan,11060713,12108683.35,13055240.53,13981191.16,13985521.71,14661891.51,16152949.21
Tulangbawang,17992071.46,19861020.48,21481669.86,23063585.89,23082157.34,24164764.55,25998560.09
Pesawaran,12860673.51,13994055.99,15099607.1,16208211.81,16211738.92,16845043.63,18687390.86
Pringsewu,8896058.18,9685778.49,10389147.21,11156953.24,11166162.52,11662927.85,12852318.86
Mesuji,8109862.27,8931802.31,9691343.34,10409225.01,10390753.81,10894431.59,11973939.56
Tulang Bawang Barat,9042004.2,9854342.36,10654951.42,11445302.94,11420341.01,11960549.91,13233014.81
Pesisir Barat,3615624.59,3947578.32,4282378.16,4687389.87,4677542.69,4896560.88,5349436.15
Kota Bandar Lampung,44741904.31,50082837.14,54609162.61,59203979.34,58869436.72,61525514.56,67940869.72
Kota Metro,4997830.93,5481684.05,5892670.42,6320907.78,6289542.94,6576893.19,7224646.91
Bangka,11771680.59,12807936.13,13310565.01,13765427.63,13932937.7,16166007.55,17958776.52
Belitung,8000983.89,8739899.93,9314624.93,9856802.27,9826820.91,11011041.86,12322373.86
